ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE
Buadiposo-Buntong,PH153633000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Bubong,PH153606000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Bucay,PH140103000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Bucloc,PH140104000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Buenavista,PH045605000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Buenavista,PH067901000,NA,NA,NA,Guimaras,PH067900000,Region VI,PH060000000,Philippines (the),PH
Buenavista,PH071209000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Buenavista,PH160201000,NA,NA,NA,Agusan del Norte,PH160200000,Region XIII,PH160000000,Philippines (the),PH
Buenavista,PH174002000,NA,NA,NA,Marinduque,PH174000000,Region IV-B,PH170000000,Philippines (the),PH
Bugallon,PH015515000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Bugasong,PH060604000,NA,NA,NA,Antique,PH060600000,Region VI,PH060000000,Philippines (the),PH
Buguey,PH021508000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Buguias,PH141105000,NA,NA,NA,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Buhi,PH051705000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Bula,PH051706000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Bulacan,PH031405000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Bulalacao,PH175204000,NA,NA,NA,Oriental Mindoro,PH175200000,Region IV-B,PH170000000,Philippines (the),PH
Bulan,PH056203000,NA,NA,NA,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH
Buldon,PH153802000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Buluan,PH153803000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Bulusan,PH056204000,NA,NA,NA,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH
Bumbaran,PH153637000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Bunawan,PH160302000,NA,NA,NA,Agusan del Sur,PH160300000,Region XIII,PH160000000,Philippines (the),PH
Burauen,PH083710000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Burdeos,PH045606000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Burgos,PH012806000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Burgos,PH012904000,NA,NA,NA,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Burgos,PH013308000,NA,NA,NA,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Burgos,PH015516000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Burgos,PH023105000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Burgos,PH166704000,NA,NA,NA,Surigao del Norte,PH166700000,Region XIII,PH160000000,Philippines (the),PH
Buruanga,PH060405000,NA,NA,NA,Aklan,PH060400000,Region VI,PH060000000,Philippines (the),PH
Bustos,PH031406000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Busuanga,PH175307000,NA,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
Butig,PH153607000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Butuan City,PH160202000,NA,NA,NA,Agusan del Norte,PH160200000,Region XIII,PH160000000,Philippines (the),PH
Buug,PH098302000,NA,NA,NA,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,Philippines (the),PH
Caba,PH013309000,NA,NA,NA,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Cabagan,PH023106000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Cabanatuan City,PH034903000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Cabangan,PH037102000,NA,NA,NA,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Cabanglasan,PH101322000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Cabarroguis,PH025702000,NA,NA,NA,Quirino,PH025700000,Region II,PH020000000,Philippines (the),PH
Cabatuan,PH023107000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
